* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec 10 2020 17:24:17

* File Generated:     Jan 12 2024 14:56:59

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40LP384
Package, QN32

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, LED[1], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, leftBank
2, PIO, LED[0], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, leftBank
3, GND, not used, , , , , , UnknownBank
4, VCCIO_3, not used, , , , , , leftBank
5, PIO, not used, , , , , , leftBank
6, PIO_GBIN, not used, , , , , , leftBank
7, PIO, not used, , , , , , leftBank
8, PIO_GBIN, not used, , , , , , leftBank
9, VCCIO_2, not used, , , , , , bottomBank
10, CRESET_B, not used, , , , , , bottomBank
11, CDONE, not used, , , , , , bottomBank
12, SPI_SO, not used, , , , , , bottomBank
13, SPI_SI, not used, , , , , , bottomBank
14, SPI_SS_B, not used, , , , , , bottomBank
15, SPI_SCK, not used, , , , , , bottomBank
16, VDDIO_SPI, not used, , , , , , bottomBank
17, VCCIO_1, not used, , , , , , rightBank
18, PIO, BNC1, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
19, PIO_GBIN, not used, , , , , , rightBank
20, PIO_GBIN, not used, , , , , , rightBank
21, GND, not used, , , , , , UnknownBank
22, PIO, LED[9], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
23, PIO, LED[8], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
24, VPP_PUMP, not used, , , , , , UnknownBank
25, VCC, not used, , , , , , UnknownBank
26, PIO, LED[7], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, topBank
27, PIO, LED[6], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
28, VCCIO_0, not used, , , , , , topBank
29, PIO_GBIN, LED[5], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, topBank
30, PIO_GBIN, LED[4], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, topBank
31, PIO, LED[3], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, topBank
32, PIO, LED[2], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, topBank
Total Number of Used Pins, 11
