* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Nov 13 2023 15:43:12

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40LP384
Package, QN32

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, not used, , , , , , leftBank
2, PIO, not used, , , , , , leftBank
3, GND, not used, , , , , , UnknownBank
4, VCCIO_3, not used, , , , , , leftBank
5, PIO, LED1, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
6, PIO_GBIN, LED2, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
7, PIO, BUTTON, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
8, PIO_GBIN, clk, Input, glb Buff, SB_LVCMOS, No Pull Up, Simple Input, leftBank
9, VCCIO_2, not used, , , , , , bottomBank
10, CRESET_B, not used, , , , , , bottomBank
11, CDONE, not used, , , , , , bottomBank
12, SPI_SO, not used, , , , , , bottomBank
13, SPI_SI, not used, , , , , , bottomBank
14, SPI_SS_B, not used, , , , , , bottomBank
15, SPI_SCK, not used, , , , , , bottomBank
16, VDDIO_SPI, not used, , , , , , bottomBank
17, VCCIO_1, not used, , , , , , rightBank
18, PIO, not used, , , , , , rightBank
19, PIO_GBIN, not used, , , , , , rightBank
20, PIO_GBIN, not used, , , , , , rightBank
21, GND, not used, , , , , , UnknownBank
22, PIO, not used, , , , , , rightBank
23, PIO, not used, , , , , , rightBank
24, VPP_PUMP, not used, , , , , , UnknownBank
25, VCC, not used, , , , , , UnknownBank
26, PIO, not used, , , , , , topBank
27, PIO, not used, , , , , , topBank
28, VCCIO_0, not used, , , , , , topBank
29, PIO_GBIN, not used, , , , , , topBank
30, PIO_GBIN, not used, , , , , , topBank
31, PIO, not used, , , , , , topBank
32, PIO, not used, , , , , , topBank
Total Number of Used Pins, 4
